year,as_name,dist_from_start,as_dist,year_as_index,race_name,as_index,flag_finish
2019,Blackwell,80.3,4.7,2019AS_14,ES100,AS_14,FALSE
2019,Sky Top,84.8,4.5,2019AS_15,ES100,AS_15,FALSE
2019,Barrens,92.8,8,2019AS_16,ES100,AS_16,FALSE
2019,Hacketts,99.1,6.3,2019AS_17,ES100,AS_17,FALSE
2019,Little Pine Creek SP,102.9,3.8,2019AS_18,ES100,AS_18,TRUE
2021,Ramsey Rd,5.8,5.8,2021AS_01,ES100,AS_01,FALSE
2021,Ramsey,11.3,5.5,2021AS_02,ES100,AS_02,FALSE
2021,Lower Pine Bottom,17.8,6.5,2021AS_03,ES100,AS_03,FALSE
2021,Browns Run,25.8,8,2021AS_04,ES100,AS_04,FALSE
2021,Happy Dutchman,31.6,5.8,2021AS_05,ES100,AS_05,FALSE
2021,Ritchie Road,38.5,6.9,2021AS_06,ES100,AS_06,FALSE
2021,Hyner Run,43.2,4.7,2021AS_07,ES100,AS_07,FALSE
2021,Dry Run,51.2,8,2021AS_08,ES100,AS_08,FALSE
2021,Big Trail,56.6,5.4,2021AS_09,ES100,AS_09,FALSE
2021,Slate Run,63.9,7.3,2021AS_10,ES100,AS_10,FALSE
2021,Algerine,69.3,5.4,2021AS_11,ES100,AS_11,FALSE
2021,Long Branch,75.8,6.5,2021AS_12,ES100,AS_12,FALSE
2021,Blackwell,80.5,4.7,2021AS_13,ES100,AS_13,FALSE
2021,Sky Top,85,4.5,2021AS_14,ES100,AS_14,FALSE
2021,Barrens,93.1,8.1,2021AS_15,ES100,AS_15,FALSE
2021,Hacketts,99.3,6.2,2021AS_16,ES100,AS_16,FALSE
2021,Little Pine Creek SP,103.1,3.8,2021AS_17,ES100,AS_17,TRUE
2022,Ramsey Rd,5.8,5.8,2022AS_01,ES100,AS_01,FALSE
2022,Ramsey,11.3,5.5,2022AS_02,ES100,AS_02,FALSE
2022,Lower Pine Bottom,17.8,6.5,2022AS_03,ES100,AS_03,FALSE
2022,Browns Run,25.8,8,2022AS_04,ES100,AS_04,FALSE
2022,Happy Dutchman,31.6,5.8,2022AS_05,ES100,AS_05,FALSE
2022,Ritchie Road,38.5,6.9,2022AS_06,ES100,AS_06,FALSE
2022,Hyner Run,43.2,4.7,2022AS_07,ES100,AS_07,FALSE
2022,Dry Run,51.2,8,2022AS_08,ES100,AS_08,FALSE
2022,Big Trail,56.6,5.4,2022AS_09,ES100,AS_09,FALSE
2022,Slate Run,63.9,7.3,2022AS_10,ES100,AS_10,FALSE
2022,Algerine,69.3,5.4,2022AS_11,ES100,AS_11,FALSE
2022,Long Branch,75.8,6.5,2022AS_12,ES100,AS_12,FALSE
2022,Blackwell,80.5,4.7,2022AS_13,ES100,AS_13,FALSE
2022,Sky Top,85,4.5,2022AS_14,ES100,AS_14,FALSE
2022,Barrens,93.1,8.1,2022AS_15,ES100,AS_15,FALSE
2022,Hacketts,99.3,6.2,2022AS_16,ES100,AS_16,FALSE
2022,Little Pine Creek SP,103.1,3.8,2022AS_17,ES100,AS_17,TRUE
2023,Ramsey Rd,5.8,5.8,2023AS_01,ES100,AS_01,FALSE
2023,Ramsey,11.3,5.5,2023AS_02,ES100,AS_02,FALSE
2023,Lower Pine Bottom,17.8,6.5,2023AS_03,ES100,AS_03,FALSE
2023,Browns Run,25.8,8,2023AS_04,ES100,AS_04,FALSE
2023,Happy Dutchman,31.6,5.8,2023AS_05,ES100,AS_05,FALSE
2023,Ritchie Road,38.5,6.9,2023AS_06,ES100,AS_06,FALSE
2023,Hyner Run,43.2,4.7,2023AS_07,ES100,AS_07,FALSE
2023,Dry Run,51.2,8,2023AS_08,ES100,AS_08,FALSE
2023,Big Trail,56.6,5.4,2023AS_09,ES100,AS_09,FALSE
2023,Tomb Flats,62.9,6.3,2023AS_10,ES100,AS_10,FALSE
2023,Cedar Run,72.7,9.8,2023AS_11,ES100,AS_11,FALSE
2023,Blackwell,80.5,7.8,2023AS_12,ES100,AS_12,FALSE
2023,Sky Top,85,4.5,2023AS_13,ES100,AS_13,FALSE
2023,Barrens,93.1,8.1,2023AS_14,ES100,AS_14,FALSE
2023,Hacketts,99.3,6.2,2023AS_15,ES100,AS_15,FALSE
2023,Little Pine Creek SP,103.1,3.8,2023AS_16,ES100,AS_16,TRUE
2025,Ramsey Rd,5.8,5.8,2025AS_01,ES100,AS_01,FALSE
2025,Ramsey,11.3,5.5,2025AS_02,ES100,AS_02,FALSE
2025,Lower Pine Bottom,17.8,6.5,2025AS_03,ES100,AS_03,FALSE
2025,Browns Run,25.8,8,2025AS_04,ES100,AS_04,FALSE
2025,Happy Dutchman,31.6,5.8,2025AS_05,ES100,AS_05,FALSE
2025,Ritchie Road,38.5,6.9,2025AS_06,ES100,AS_06,FALSE
2025,Hyner Run,43.2,4.7,2025AS_07,ES100,AS_07,FALSE
2025,Dry Run,51.2,8,2025AS_08,ES100,AS_08,FALSE
2025,Big Trail,56.6,5.4,2025AS_09,ES100,AS_09,FALSE
2025,Tomb Flats,62.9,6.3,2025AS_10,ES100,AS_10,FALSE
2025,Cedar Run,72.7,9.8,2025AS_11,ES100,AS_11,FALSE
2025,Blackwell,80.5,7.8,2025AS_12,ES100,AS_12,FALSE
2025,Sky Top,85,4.5,2025AS_13,ES100,AS_13,FALSE
2025,Barrens,93.1,8.1,2025AS_14,ES100,AS_14,FALSE
2025,Hacketts,99.3,6.2,2025AS_15,ES100,AS_15,FALSE
2025,Little Pine Creek SP,103.1,3.8,2025AS_16,ES100,AS_16,TRUE
,,,,,,,
